loan_id,borrower_id,loan_type,origination_date,maturity_date,original_principal,current_balance,interest_rate,term_months,borrower_state,loan_purpose,credit_grade,employment_length,income_band,payment_status,days_past_due,servicer_name,last_payment_date,last_updated_at,document_status,source_system
FNMA-100023020488,BOR-FNMA-020488,Conventional_30Y,2009-08-01,2029-09-01,55000.00,55000.00,5.375,240,714,Purchase,A,5 years,$75k - $120k,CURRENT,0,Other,2026-08-01,2026-08-26 12:00:00,VERIFIED,FannieMae_DataDynamics
FNMA-100039488159,BOR-FNMA-488159,Conventional_30Y,2009-07-01,2024-08-01,155000.00,155000.00,4.375,180,795,Purchase,A,5 years,$75k - $120k,CURRENT,0,"Wells Fargo Bank, N.A.",2026-08-01,2026-08-26 12:00:00,VERIFIED,FannieMae_DataDynamics
FNMA-100050465903,BOR-FNMA-465903,Conventional_30Y,2009-07-01,2039-08-01,620000.00,620000.00,5.500,360,710,Purchase,A,5 years,$75k - $120k,CURRENT,0,"Pnc Bank, N.A.",2026-08-01,2026-08-26 12:00:00,VERIFIED,FannieMae_DataDynamics
FNMA-100352555665,BOR-FNMA-555665,Conventional_30Y,2009-09-01,2039-10-01,165000.00,165000.00,4.625,360,762,Purchase,A,5 years,$75k - $120k,CURRENT,0,"Jpmorgan Chase Bank, National Association",2026-08-01,2026-08-26 12:00:00,VERIFIED,FannieMae_DataDynamics
FNMA-100829595540,BOR-FNMA-595540,Conventional_30Y,2009-07-01,2039-08-01,175000.00,175000.00,5.875,360,666,Purchase,A,5 years,$75k - $120k,CURRENT,0,Other,2026-08-01,2026-08-26 12:00:00,VERIFIED,FannieMae_DataDynamics
FNMA-101812620634,BOR-FNMA-620634,Conventional_30Y,2009-07-01,2039-08-01,278000.00,278000.00,4.875,360,737,Purchase,A,5 years,$75k - $120k,CURRENT,0,"Wells Fargo Bank, N.A.",2026-08-01,2026-08-26 12:00:00,VERIFIED,FannieMae_DataDynamics
FNMA-102218329006,BOR-FNMA-329006,Conventional_30Y,2009-07-01,2039-08-01,101000.00,101000.00,4.375,360,728,Purchase,A,5 years,$75k - $120k,CURRENT,0,"Wells Fargo Bank, N.A.",2026-08-01,2026-08-26 12:00:00,VERIFIED,FannieMae_DataDynamics
FNMA-102458150755,BOR-FNMA-150755,Conventional_30Y,2009-07-01,2039-08-01,148000.00,148000.00,4.375,360,754,Purchase,A,5 years,$75k - $120k,CURRENT,0,Other,2026-08-01,2026-08-26 12:00:00,VERIFIED,FannieMae_DataDynamics
